x,y,p,phi_on_grid
0.0,0.0,0.0,0.0
0.0,0.012321,0.0,0.0
0.0,0.0246727,0.0,0.0
0.0,0.0370551,0.0,0.0
0.0,0.0494679,0.0,0.0
0.0,0.0619113,0.0,0.0
0.0,0.074385,0.0,0.0
0.0,0.086889,0.0,0.0
0.0,0.0994233,0.0,0.0
0.0,0.111988,0.0,0.0
0.0,0.124582,0.0,0.0
0.0,0.137207,0.0,0.0
0.0,0.149861,0.0,0.0
0.0,0.162546,0.0,0.0
0.0,0.17526,0.0,0.0
0.0,0.188004,0.0,0.0
0.0,0.200777,0.0,0.0
0.0,0.213581,0.0,0.0
0.0,0.226413,0.0,0.0
0.0,0.239276,0.0,0.0
0.0,0.252167,0.0,0.0
0.0,0.265088,0.0,0.0
0.0,0.278038,0.0,0.0
0.0,0.291018,0.0,0.0
0.0,0.304026,0.0,0.0
0.0,0.317064,0.0,0.0
0.0,0.33013,0.0,0.0
0.0,0.343226,0.0,0.0
0.0,0.35635,0.0,0.0
0.0,0.369504,0.0,0.0
0.0,0.382686,0.0,0.0
0.0,0.395896,0.0,0.0
0.0,0.409136,0.0,0.0
0.0,0.422404,0.0,0.0
0.0,0.4357,0.0,0.0
0.0,0.449025,0.0,0.0
0.0,0.462378,0.0,0.0
0.0,0.475759,0.0,0.0
0.0,0.489169,0.0,0.0
0.0,0.502607,0.0,0.0
0.0,0.516073,0.0,0.0
0.0,0.529568,0.0,0.0
0.0,0.54309,0.0,0.0
0.0,0.55664,0.0,0.0
0.0,0.570218,0.0,0.0
0.0,0.583824,0.0,0.0
0.0,0.597458,0.0,0.0
0.0,0.611119,0.0,0.0
0.0,0.624808,0.0,0.0
0.0,0.638525,0.0,0.0
0.012321,0.0,0.0,0.0
0.012321,0.012321,0.000145639,0.000151796
0.012321,0.0246727,0.000304503,0.000303947
0.012321,0.0370551,0.000439411,0.000456452
0.012321,0.0494679,0.000607165,0.00060931
0.012321,0.0619113,0.000741024,0.00076252
0.012321,0.074385,0.000904646,0.00091608
0.012321,0.086889,0.00104652,0.00106999
0.012321,0.0994233,0.00120388,0.00122425
0.012321,0.111988,0.0013538,0.00137885
0.012321,0.124582,0.00150468,0.0015338
0.012321,0.137207,0.00166067,0.0016891
0.012321,0.149861,0.0018118,0.00184474
0.012321,0.162546,0.00196216,0.00200073
0.012321,0.17526,0.00212535,0.00215705
0.012321,0.188004,0.00226622,0.00231372
0.012321,0.200777,0.0024349,0.00247073
0.012321,0.213581,0.00257882,0.00262808
0.012321,0.226413,0.00274175,0.00278576
0.012321,0.239276,0.00289289,0.00294378
